"","date","state","confirmed","Casos.Estimado","t","Casos.Forecast","Casos.Lo.80","Casos.Hi.80","Casos.Lo.95","Casos.Hi.95","deaths","Obitos.Estimado","Obitos.Forecast","Obitos.Lo.80","Obitos.Hi.80","Obitos.Lo.95","Obitos.Hi.95"
"1",2020-03-17,"AC",3,2.99865835940916,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"2",2020-03-18,"AC",3,3.00402490972557,2,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"3",2020-03-19,"AC",4,3.17194146866165,3,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"4",2020-03-20,"AC",7,4.89008813300055,4,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"5",2020-03-21,"AC",11,8.89596486230457,5,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"6",2020-03-22,"AC",11,13.3351022091153,6,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"7",2020-03-23,"AC",17,12.2174757354447,7,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"8",2020-03-24,"AC",21,20.4412391464891,8,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"9",2020-03-25,"AC",23,23.813292054847,9,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"10",2020-03-26,"AC",23,25.3939186008403,10,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"11",2020-03-27,"AC",25,24.6801938259462,11,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"12",2020-03-28,"AC",25,27.2003901514766,12,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"13",2020-03-29,"AC",34,26.4007240451874,13,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"14",2020-03-30,"AC",41,38.465585689744,14,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"15",2020-03-31,"AC",42,45.0039971675749,15,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"16",2020-04-01,"AC",43,44.5048388017911,16,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"17",2020-04-02,"AC",45,45.511243549617,17,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"18",2020-04-03,"AC",46,47.5982173892603,18,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"19",2020-04-04,"AC",46,48.1317623120226,19,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"20",2020-04-05,"AC",48,47.6746289912824,20,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"21",2020-04-06,"AC",50,50.1652183816957,21,NA,NA,NA,NA,NA,1,0.000157428032490525,NA,NA,NA,NA,NA
"22",2020-04-07,"AC",50,52.0496598372931,22,NA,NA,NA,NA,NA,2,1.29757281790607,NA,NA,NA,NA,NA
"23",2020-04-08,"AC",58,51.3693210323282,23,NA,NA,NA,NA,NA,2,2.39438714156073,NA,NA,NA,NA,NA
"24",2020-04-09,"AC",62,62.03215778404,24,NA,NA,NA,NA,NA,2,2.19842449289307,NA,NA,NA,NA,NA
"25",2020-04-10,"AC",70,64.846187642045,25,NA,NA,NA,NA,NA,2,2.18361652068594,NA,NA,NA,NA,NA
"26",2020-04-11,"AC",72,74.6385085535466,26,NA,NA,NA,NA,NA,2,2.15126124347962,NA,NA,NA,NA,NA
"27",2020-04-12,"AC",77,74.8102638763305,27,NA,NA,NA,NA,NA,2,2.12686868974839,NA,NA,NA,NA,NA
"28",2020-04-13,"AC",90,81.0375141824413,28,NA,NA,NA,NA,NA,3,2.10611685867881,NA,NA,NA,NA,NA
"29",2020-04-14,"AC",99,96.756041616416,29,NA,NA,NA,NA,NA,3,3.38603058459833,NA,NA,NA,NA,NA
"30",2020-04-15,"AC",101,104.944737285625,30,NA,NA,NA,NA,NA,4,3.1711339526634,NA,NA,NA,NA,NA
"31",2020-04-16,"AC",115,105.179787480409,31,NA,NA,NA,NA,NA,5,4.46076111214144,NA,NA,NA,NA,NA
"32",2020-04-17,"AC",135,123.283049826343,32,NA,NA,NA,NA,NA,5,5.52816741844278,NA,NA,NA,NA,NA
"33",2020-04-18,"AC",142,145.602953559912,33,NA,NA,NA,NA,NA,6,5.31075789128659,NA,NA,NA,NA,NA
"34",2020-04-19,"AC",163,149.276871944004,34,NA,NA,NA,NA,NA,6,6.57480398982199,NA,NA,NA,NA,NA
"35",2020-04-20,"AC",176,175.671989362389,35,NA,NA,NA,NA,NA,8,6.32672572572051,NA,NA,NA,NA,NA
"36",2020-04-21,"AC",195,186.352574449658,36,NA,NA,NA,NA,NA,8,8.88848385241324,NA,NA,NA,NA,NA
"37",2020-04-22,"AC",214,208.291520146236,37,NA,NA,NA,NA,NA,8,8.43690781333554,NA,NA,NA,NA,NA
"38",2020-04-23,"AC",227,227.736788584724,38,NA,NA,NA,NA,NA,10,8.40659928230027,NA,NA,NA,NA,NA
"39",2020-04-24,"AC",234,239.46929189725,39,NA,NA,NA,NA,NA,11,10.9291648226631,NA,NA,NA,NA,NA
"40",2020-04-25,"AC",258,244.704370715421,40,NA,NA,NA,NA,NA,11,11.7716795067068,NA,NA,NA,NA,NA
"41",2020-04-26,"AC",279,274.282148277376,41,NA,NA,NA,NA,NA,11,11.5343744181393,NA,NA,NA,NA,NA
"42",2020-04-27,"AC",301,294.559930268357,42,NA,NA,NA,NA,NA,14,11.4620076807328,NA,NA,NA,NA,NA
