"","date","state","confirmed","Casos.Estimado","t","Casos.Forecast","Casos.Lo.80","Casos.Hi.80","Casos.Lo.95","Casos.Hi.95","deaths","Obitos.Estimado","Obitos.Forecast","Obitos.Lo.80","Obitos.Hi.80","Obitos.Lo.95","Obitos.Hi.95"
"43",2020-04-28,"AC",317,317.955462673619,43,NA,NA,NA,NA,NA,16,15.2762568504755,NA,NA,NA,NA,NA
"44",2020-04-29,"AC",354,332.482479772088,44,NA,NA,NA,NA,NA,18,17.2069958253709,NA,NA,NA,NA,NA
"45",2020-04-30,"AC",404,377.109502892075,45,NA,NA,NA,NA,NA,19,19.3616070169674,NA,NA,NA,NA,NA
"46",2020-05-01,"AC",487,432.614183156282,46,NA,NA,NA,NA,NA,19,20.1652700932593,NA,NA,NA,NA,NA
"47",2020-05-02,"AC",553,529.695618271901,47,NA,NA,NA,NA,NA,22,19.8594324219728,NA,NA,NA,NA,NA
"48",2020-05-03,"AC",658,594.129756388047,48,NA,NA,NA,NA,NA,25,23.6262455696258,NA,NA,NA,NA,NA
"49",2020-05-04,"AC",733,717.134152586247,49,NA,NA,NA,NA,NA,28,26.7947198618889,NA,NA,NA,NA,NA
"50",2020-05-05,"AC",817,786.308597269349,50,NA,NA,NA,NA,NA,29,29.9990392062913,NA,NA,NA,NA,NA
"51",2020-05-06,"AC",943,878.132650010898,51,NA,NA,NA,NA,NA,35,30.5670417686387,NA,NA,NA,NA,NA
"52",2020-05-07,"AC",1014,1021.17287870381,52,NA,NA,NA,NA,NA,36,37.9966006564396,NA,NA,NA,NA,NA
"53",2020-05-08,"AC",1177,1078.18570648167,53,NA,NA,NA,NA,NA,38,37.9064363263713,NA,NA,NA,NA,NA
"54",2020-05-09,"AC",1335,1276.70481317973,54,NA,NA,NA,NA,NA,40,40.1579645340818,NA,NA,NA,NA,NA
"55",2020-05-10,"AC",1447,1437.38884596169,55,NA,NA,NA,NA,NA,41,42.1005286563941,NA,NA,NA,NA,NA
"56",2020-05-11,"AC",1460,1542.38399153116,56,NA,NA,NA,NA,NA,44,42.7911161682545,NA,NA,NA,NA,NA
"57",2020-05-12,"AC",1590,1525.12703360188,57,NA,NA,NA,NA,NA,51,46.2737488076672,NA,NA,NA,NA,NA
"58",2020-05-13,"AC",1694,1692.21781797226,58,NA,NA,NA,NA,NA,52,54.5430870843335,NA,NA,NA,NA,NA
"59",2020-05-14,"AC",1740,1785.33331689249,59,NA,NA,NA,NA,NA,55,54.2576261753081,NA,NA,NA,NA,NA
"60",2020-05-15,"AC",1785,1815.30558449617,60,NA,NA,NA,NA,NA,57,57.7632350494637,NA,NA,NA,NA,NA
"61",2020-05-16,"AC",1867,1857.8399266264,61,NA,NA,NA,NA,NA,59,59.4531945585907,NA,NA,NA,NA,NA
"62",2020-05-17,"AC",1996,1948.3879226087,62,NA,NA,NA,NA,NA,62,61.4040107334591,NA,NA,NA,NA,NA
"63",2020-05-18,"AC",2234,2092.26533885542,63,NA,NA,NA,NA,NA,67,64.6319380357343,NA,NA,NA,NA,NA
"64",2020-05-19,"AC",2482,2370.94636200378,64,NA,NA,NA,NA,NA,73,70.2690215352845,NA,NA,NA,NA,NA
"65",2020-05-20,"AC",2817,2632.30565080648,65,NA,NA,NA,NA,NA,75,76.8154155854199,NA,NA,NA,NA,NA
"66",2020-05-21,"AC",3103,3011.62737891446,66,NA,NA,NA,NA,NA,78,77.9698112285151,NA,NA,NA,NA,NA
"67",2020-05-22,"AC",3343,3296.54868295762,67,NA,NA,NA,NA,NA,80,81.1822006926001,NA,NA,NA,NA,NA
"68",2020-05-23,"AC",3867,3536.44726441206,68,NA,NA,NA,NA,NA,87,82.8274301795941,NA,NA,NA,NA,NA
"69",2020-05-24,"AC",4160,4166.77518199464,69,NA,NA,NA,NA,NA,92,91.2001164410636,NA,NA,NA,NA,NA
"70",2020-05-25,"AC",4501,4398.81901386919,70,NA,NA,NA,NA,NA,97,95.9703331000881,NA,NA,NA,NA,NA
"71",2020-05-26,"AC",4781,4776.43444188724,71,NA,NA,NA,NA,NA,105,101.186756505402,NA,NA,NA,NA,NA
"72",2020-05-27,"AC",5251,5039.89978551642,72,NA,NA,NA,NA,NA,113,110.204800842907,NA,NA,NA,NA,NA
"73",2020-05-28,"AC",5600,5582.25399191593,73,NA,NA,NA,NA,NA,122,118.608351480681,NA,NA,NA,NA,NA
"74",2020-05-29,"AC",5841,5899.97574121389,74,NA,NA,NA,NA,NA,135,128.303257306851,NA,NA,NA,NA,NA
"75",2020-05-30,"AC",6072,6117.38934510138,75,NA,NA,NA,NA,NA,142,142.913711036767,NA,NA,NA,NA,NA
"76",2020-05-31,"AC",6219,6343.11475942476,76,NA,NA,NA,NA,NA,148,148.891760256985,NA,NA,NA,NA,NA
"77",2020-06-01,"AC",6326,6455.14639341162,77,NA,NA,NA,NA,NA,161,154.729081430139,NA,NA,NA,NA,NA
"78",2020-06-02,"AC",6465,6539.39240560022,78,NA,NA,NA,NA,NA,165,169.692920384057,NA,NA,NA,NA,NA
"79",2020-06-03,"AC",6679,6675.50732972151,79,NA,NA,NA,NA,NA,171,171.595381027744,NA,NA,NA,NA,NA
"80",2020-06-04,"AC",7021,6903.90782912651,80,NA,NA,NA,NA,NA,181,177.944254081747,NA,NA,NA,NA,NA
"81",2020-06-05,"AC",7284,7285.87069512127,81,NA,NA,NA,NA,NA,190,188.919231695187,NA,NA,NA,NA,NA
"82",2020-06-06,"AC",7525,7527.46154588342,82,NA,NA,NA,NA,NA,201,197.898075840581,NA,NA,NA,NA,NA
"83",2020-06-07,"AC",7983,7767.94009647552,83,NA,NA,NA,NA,NA,207,209.698967422804,NA,NA,NA,NA,NA
"84",2020-06-08,"AC",8127,8300.91258973456,84,NA,NA,NA,NA,NA,211,214.549178909157,NA,NA,NA,NA,NA
"85",2020-06-09,"AC",8457,8346.50670940964,85,NA,NA,NA,NA,NA,223,217.796667293137,NA,NA,NA,NA,NA
"86",2020-06-10,"AC",8746,8745.63701029562,86,NA,NA,NA,NA,NA,237,231.740947977162,NA,NA,NA,NA,NA
"87",2020-06-11,"AC",9091,9015.17201927163,87,NA,NA,NA,NA,NA,245,246.721075739533,NA,NA,NA,NA,NA
"88",2020-06-12,"AC",9295,9386.3883304955,88,NA,NA,NA,NA,NA,254,253.620242844354,NA,NA,NA,NA,NA
"89",2020-06-13,"AC",9534,9545.27017925018,89,NA,NA,NA,NA,NA,256,262.925964486627,NA,NA,NA,NA,NA
"90",2020-06-14,"AC",9642,9796.56755886065,90,NA,NA,NA,NA,NA,259,262.824794612352,NA,NA,NA,NA,NA
"91",2020-06-15,"AC",9771,9852.99534571616,91,NA,NA,NA,NA,NA,265,265.463994065731,NA,NA,NA,NA,NA
"92",2020-06-16,"AC",10003,9980.98247198314,92,NA,NA,NA,NA,NA,271,271.754646477036,NA,NA,NA,NA,NA
"93",2020-06-17,"AC",10339,10235.151392045,93,NA,NA,NA,NA,NA,281,277.582331694848,NA,NA,NA,NA,NA
"94",2020-06-18,"AC",10664,10603.239753822,94,NA,NA,NA,NA,NA,287,288.682729836042,NA,NA,NA,NA,NA
"95",2020-06-19,"AC",10987,10930.8855327626,95,NA,NA,NA,NA,NA,292,293.799620681672,NA,NA,NA,NA,NA
"96",2020-06-20,"AC",11263,11262.5608626374,96,NA,NA,NA,NA,NA,297,298.453264851137,NA,NA,NA,NA,NA
"97",2020-06-21,"AC",11381,11528.7637941024,97,NA,NA,NA,NA,NA,300,303.222954616833,NA,NA,NA,NA,NA
"98",2020-06-22,"AC",11539,11595.4735509834,98,NA,NA,NA,NA,NA,305,305.427826958672,NA,NA,NA,NA,NA
"99",2020-06-23,"AC",11810,11760.0997629437,99,NA,NA,NA,NA,NA,321,310.661793525436,NA,NA,NA,NA,NA
"100",2020-06-24,"AC",12022,12058.4072571501,100,NA,NA,NA,NA,NA,326,329.782577107993,NA,NA,NA,NA,NA
"101",2020-06-25,"AC",12304,12248.9416656638,101,NA,NA,NA,NA,NA,335,332.499883358589,NA,NA,NA,NA,NA
"102",2020-06-26,"AC",12644,12556.4790524111,102,NA,NA,NA,NA,NA,343,342.666833874253,NA,NA,NA,NA,NA
"103",2020-06-27,"AC",12913,12917.0502930831,103,NA,NA,NA,NA,NA,351,350.485724707143,NA,NA,NA,NA,NA
"104",2020-06-28,"AC",13058,13169.1288007459,104,NA,NA,NA,NA,NA,353,358.601252685757,NA,NA,NA,NA,NA
"105",2020-06-29,"AC",13146,13276.3316042168,105,NA,NA,NA,NA,NA,361,358.878756860727,NA,NA,NA,NA,NA
"106",2020-06-30,"AC",13253,13338.8643927536,106,NA,NA,NA,NA,NA,365,368.136875723187,NA,NA,NA,NA,NA
"107",2020-07-01,"AC",13715,13439.2134654588,107,NA,NA,NA,NA,NA,370,370.966811660204,NA,NA,NA,NA,NA
"108",2020-07-02,"AC",14048,14012.0203405506,108,NA,NA,NA,NA,NA,378,376.030929629699,NA,NA,NA,NA,NA
"109",2020-07-03,"AC",14112,14308.5924773686,109,NA,NA,NA,NA,NA,387,384.724531110348,NA,NA,NA,NA,NA
"110",2020-07-04,"AC",14487,14298.0776118945,110,NA,NA,NA,NA,NA,391,394.180239943964,NA,NA,NA,NA,NA
"111",2020-07-05,"AC",14622,14773.4112985672,111,NA,NA,NA,NA,NA,391,396.98000572983,NA,NA,NA,NA,NA
"112",2020-07-06,"AC",14688,14822.4382388089,112,NA,NA,NA,NA,NA,394,395.558900937549,NA,NA,NA,NA,NA
"113",2020-07-07,"AC",14941,14868.6899481868,113,NA,NA,NA,NA,NA,399,398.76560230143,NA,NA,NA,NA,NA
"114",2020-07-08,"AC",15167,15170.587674352,114,NA,NA,NA,NA,NA,404,404.009946857256,NA,NA,NA,NA,NA
"115",2020-07-09,"AC",15465,15382.5234558437,115,NA,NA,NA,NA,NA,411,408.980726189791,NA,NA,NA,NA,NA
"116",2020-07-10,"AC",15768,15709.744509263,116,NA,NA,NA,NA,NA,417,416.582033523661,NA,NA,NA,NA,NA
"117",2020-07-11,"AC",16080,16018.3115151774,117,NA,NA,NA,NA,NA,419,422.480007929623,NA,NA,NA,NA,NA
"118",2020-07-12,"AC",16190,16341.3628041881,118,NA,NA,NA,NA,NA,426,423.398805280396,NA,NA,NA,NA,NA
"119",2020-07-13,"AC",16260,16387.9655103648,119,NA,NA,NA,NA,NA,430,431.561896712511,NA,NA,NA,NA,NA
"120",2020-07-14,"AC",16479,16440.4519575927,120,NA,NA,NA,NA,NA,436,434.806188480106,NA,NA,NA,NA,NA
"121",2020-07-15,"AC",16672,16695.5007190819,121,NA,NA,NA,NA,NA,446,441.336037200129,NA,NA,NA,NA,NA
"122",2020-07-16,"AC",16865,16873.5210897974,122,NA,NA,NA,NA,NA,447,452.588550216955,NA,NA,NA,NA,NA
"123",2020-07-17,"AC",16965,17067.7345761057,123,NA,NA,NA,NA,NA,452,451.4048595926,NA,NA,NA,NA,NA
"124",2020-07-18,"AC",17202,17133.6393589474,124,NA,NA,NA,NA,NA,457,457.20794858237,NA,NA,NA,NA,NA
"125",2020-07-19,"AC",17295,17412.547131484,125,NA,NA,NA,NA,NA,460,462.079454428629,NA,NA,NA,NA,NA
"126",2020-07-20,"AC",17462,17452.6867730171,126,NA,NA,NA,NA,NA,465,464.484674562618,NA,NA,NA,NA,NA
"127",2020-07-21,"AC",17700,17643.7560413478,127,NA,NA,NA,NA,NA,469,469.870847586701,NA,NA,NA,NA,NA
"128",2020-07-22,"AC",17979,17899.5979639299,128,NA,NA,NA,NA,NA,470,473.554261862862,NA,NA,NA,NA,NA
"129",2020-07-23,"AC",18157,18196.1451150841,129,NA,NA,NA,NA,NA,474,473.595399530332,NA,NA,NA,NA,NA
"130",2020-07-24,"AC",18393,18346.4998704239,130,NA,NA,NA,NA,NA,480,478.11391297545,NA,NA,NA,NA,NA
"131",2020-07-25,"AC",18657,18605.5565615462,131,NA,NA,NA,NA,NA,483,484.629183116985,NA,NA,NA,NA,NA
"132",2020-07-26,"AC",18745,18879.1413555116,132,NA,NA,NA,NA,NA,486,486.933602666364,NA,NA,NA,NA,NA
"133",2020-07-27,"AC",18783,18911.5291967301,133,NA,NA,NA,NA,NA,493,489.838655220029,NA,NA,NA,NA,NA
"134",2020-07-28,"AC",19132,18928.7668646764,134,NA,NA,NA,NA,NA,500,497.882917757344,NA,NA,NA,NA,NA
"135",2020-07-29,"AC",19366,19370.9925825492,135,NA,NA,NA,NA,NA,510,505.157955268446,NA,NA,NA,NA,NA
"136",2020-07-30,"AC",19573,19567.2283855771,136,NA,NA,NA,NA,NA,521,516.359947918025,NA,NA,NA,NA,NA
"137",2020-07-31,"AC",19625,19777.1139276937,137,NA,NA,NA,NA,NA,531,528.196571224158,NA,NA,NA,NA,NA
"138",2020-08-01,"AC",19930,19775.3705388675,138,NA,NA,NA,NA,NA,535,538.509924485284,NA,NA,NA,NA,NA
"139",2020-08-02,"AC",19966,20160.9327061177,139,NA,NA,NA,NA,NA,537,541.152539838147,NA,NA,NA,NA,NA
"140",2020-08-03,"AC",20339,20101.9561174772,140,NA,NA,NA,NA,NA,539,542.311557373717,NA,NA,NA,NA,NA
"141",2020-08-04,"AC",20710,20591.6736017213,141,NA,NA,NA,NA,NA,545,543.792546533537,NA,NA,NA,NA,NA
"142",2020-08-05,"AC",21033,20961.6548882968,142,NA,NA,NA,NA,NA,547,550.522498665904,NA,NA,NA,NA,NA
"143",2020-08-06,"AC",21263,21288.4022427584,143,NA,NA,NA,NA,NA,552,551.340204793499,NA,NA,NA,NA,NA
"144",2020-08-07,"AC",21376,21496.9485578716,144,NA,NA,NA,NA,NA,556,556.931011230584,NA,NA,NA,NA,NA
"145",2020-08-08,"AC",21498,21572.5337685902,145,NA,NA,NA,NA,NA,559,560.580355182212,NA,NA,NA,NA,NA
"146",2020-08-09,"AC",21587,21690.1461975257,146,NA,NA,NA,NA,NA,561,563.21494238635,NA,NA,NA,NA,NA
"147",2020-08-10,"AC",21619,21756.6125685134,147,NA,NA,NA,NA,NA,562,564.733668626791,NA,NA,NA,NA,NA
"148",2020-08-11,"AC",21757,21759.2065605245,148,NA,NA,NA,NA,NA,565,565.169318003452,NA,NA,NA,NA,NA
"149",2020-08-12,"AC",21993,21920.8409322801,149,NA,NA,NA,NA,NA,569,568.425297457135,NA,NA,NA,NA,NA
"150",2020-08-13,"AC",22242,22182.2412506114,150,NA,NA,NA,NA,NA,574,572.615089439843,NA,NA,NA,NA,NA
"151",2020-08-14,"AC",22435,22439.1585800497,151,NA,NA,NA,NA,NA,576,577.962334047424,NA,NA,NA,NA,NA
"152",2020-08-15,"AC",22516,22620.1218796247,152,NA,NA,NA,NA,NA,576,579.223887047909,NA,NA,NA,NA,NA
"153",2020-08-16,"AC",22548,22665.7723607251,153,NA,NA,NA,NA,NA,576,578.485523186527,NA,NA,NA,NA,NA
"154",2020-08-17,"AC",22605,22675.415618003,154,NA,NA,NA,NA,NA,582,578.107981066109,NA,NA,NA,NA,NA
"155",2020-08-18,"AC",22933,22728.892177482,155,NA,NA,NA,NA,NA,590,585.5433152505,NA,NA,NA,NA,NA
"156",2020-08-19,"AC",23146,23140.1173323235,156,NA,NA,NA,NA,NA,591,594.431885826198,NA,NA,NA,NA,NA
"157",2020-08-20,"AC",23322,23318.9672248229,157,NA,NA,NA,NA,NA,595,593.912450272837,NA,NA,NA,NA,NA
"158",2020-08-21,"AC",23337,23494.9753174983,158,NA,NA,NA,NA,NA,598,598.620245918984,NA,NA,NA,NA,NA
"159",2020-08-22,"AC",23665,23454.6860765915,159,NA,NA,NA,NA,NA,598,601.314029588782,NA,NA,NA,NA,NA
"160",2020-08-23,"AC",23719,23883.5867604086,160,NA,NA,NA,NA,NA,600,600.398492185881,NA,NA,NA,NA,NA
"161",2020-08-24,"AC",23729,23843.2545284278,161,NA,NA,NA,NA,NA,604,602.651382890231,NA,NA,NA,NA,NA
"162",2020-08-25,"AC",23936,23842.8376132573,162,NA,NA,NA,NA,NA,607,607.096885898499,NA,NA,NA,NA,NA
"163",2020-08-26,"AC",24119,24102.3837657611,163,NA,NA,NA,NA,NA,607,609.91697644626,NA,NA,NA,NA,NA
"164",2020-08-27,"AC",24269,24274.6246910359,164,NA,NA,NA,NA,NA,607,609.060813718364,NA,NA,NA,NA,NA
"165",2020-08-28,"AC",24462,24419.72916118,165,NA,NA,NA,NA,NA,608,608.77511966549,NA,NA,NA,NA,NA
"166",2020-08-29,"AC",24601,24628.3767797735,166,NA,NA,NA,NA,NA,608,609.775642428369,NA,NA,NA,NA,NA
"167",2020-08-30,"AC",24638,24750.3937115551,167,NA,NA,NA,NA,NA,609,609.334716442952,NA,NA,NA,NA,NA
"168",2020-08-31,"AC",24647,24753.293975899,168,NA,NA,NA,NA,NA,612,610.434187838219,NA,NA,NA,NA,NA
"169",2020-09-01,"AC",24840,24745.3820644015,169,NA,NA,NA,NA,NA,616,613.937102126595,NA,NA,NA,NA,NA
"170",2020-09-02,"AC",25027,24990.0212548246,170,NA,NA,NA,NA,NA,618,618.374812929512,NA,NA,NA,NA,NA
"171",2020-09-03,"AC",25135,25173.0614019758,171,NA,NA,NA,NA,NA,622,620.032259872809,NA,NA,NA,NA,NA
"172",2020-09-04,"AC",25249,25261.3135322907,172,NA,NA,NA,NA,NA,623,624.659132805254,NA,NA,NA,NA,NA
"173",2020-09-05,"AC",25408,25377.794276865,173,NA,NA,NA,NA,NA,624,624.945501160165,NA,NA,NA,NA,NA
"174",2020-09-06,"AC",25443,25549.4462863643,174,NA,NA,NA,NA,NA,624,625.850372948091,NA,NA,NA,NA,NA
"175",2020-09-07,"AC",25469,25542.1982725432,175,NA,NA,NA,NA,NA,624,625.406325820844,NA,NA,NA,NA,NA
"176",2020-09-08,"AC",25494,25561.7022644632,176,NA,NA,NA,NA,NA,630,625.195654134101,NA,NA,NA,NA,NA
"177",2020-09-09,"AC",25668,25576.2161038732,177,NA,NA,NA,NA,NA,631,632.78123756011,NA,NA,NA,NA,NA
"178",2020-09-10,"AC",25877,25794.0306370989,178,NA,NA,NA,NA,NA,635,632.713472240824,NA,NA,NA,NA,NA
"179",2020-09-11,"AC",26004,26015.5128230386,179,NA,NA,NA,NA,NA,636,637.592688224977,NA,NA,NA,NA,NA
"180",2020-09-12,"AC",26148,26123.811956346,180,NA,NA,NA,NA,NA,637,637.863086042981,NA,NA,NA,NA,NA
"181",2020-09-13,"AC",26166,26278.2363737277,181,NA,NA,NA,NA,NA,640,638.78500915953,NA,NA,NA,NA,NA
"182",2020-09-14,"AC",26176,26253.0485683837,182,NA,NA,NA,NA,NA,640,642.242851670439,NA,NA,NA,NA,NA
"183",2020-09-15,"AC",26287,26256.2447142937,183,NA,NA,NA,NA,NA,642,641.440065275114,NA,NA,NA,NA,NA
"184",2020-09-16,"AC",26463,26391.5649117914,184,NA,NA,NA,NA,NA,643,643.857806184983,NA,NA,NA,NA,NA
"185",2020-09-17,"AC",26716,26586.8700755678,185,NA,NA,NA,NA,NA,646,644.540098335033,NA,NA,NA,NA,NA
"186",2020-09-18,"AC",26942,26871.9586216856,186,NA,NA,NA,NA,NA,647,648.070144574769,NA,NA,NA,NA,NA
"187",2020-09-19,"AC",27061,27099.338626543,187,NA,NA,NA,NA,NA,648,648.588482121527,NA,NA,NA,NA,NA
"188",2020-09-20,"AC",27079,27192.6325700362,188,NA,NA,NA,NA,NA,649,649.533475560055,NA,NA,NA,NA,NA
"189",2020-09-21,"AC",27106,27178.0470362188,189,NA,NA,NA,NA,NA,649,650.440848675392,NA,NA,NA,NA,NA
"190",2020-09-22,"AC",27246,27200.22417678,190,NA,NA,NA,NA,NA,651,650.072358007428,NA,NA,NA,NA,NA
"191",2020-09-23,"AC",27397,27368.8634466504,191,NA,NA,NA,NA,NA,652,652.509529255315,NA,NA,NA,NA,NA
"192",2020-09-24,"AC",27556,27521.4988979084,192,NA,NA,NA,NA,NA,653,653.254139041032,NA,NA,NA,NA,NA
"193",2020-09-25,"AC",27710,27687.4676882776,193,NA,NA,NA,NA,NA,654,654.23569328005,NA,NA,NA,NA,NA
"194",2020-09-26,"AC",27859,27843.1598484375,194,NA,NA,NA,NA,NA,656,655.19411384558,NA,NA,NA,NA,NA
"195",2020-09-27,"AC",27874,27993.6547242884,195,NA,NA,NA,NA,NA,657,657.460058311627,NA,NA,NA,NA,NA
"196",2020-09-28,"AC",27885,27964.3759532721,196,NA,NA,NA,NA,NA,657,658.233015124772,NA,NA,NA,NA,NA
"197",2020-09-29,"AC",28030,27969.0807638689,197,NA,NA,NA,NA,NA,657,657.918072873334,NA,NA,NA,NA,NA
"198",2020-09-30,"AC",28222,28149.2679188117,198,NA,NA,NA,NA,NA,659,657.783350955939,NA,NA,NA,NA,NA
"199",2020-10-01,"AC",NA,NA,199,28355.6744376943,28241.8052534634,28469.5436219253,28181.5265484935,28529.8223268952,NA,NA,660.247847584458,657.185948955431,663.309746213484,655.565077730672,664.930617438244
"200",2020-10-02,"AC",NA,NA,200,28476.4532558446,28285.462176331,28667.4443353582,28184.357606103,28768.5489055862,NA,NA,661.359370260878,656.344198212325,666.374542309432,653.689326498527,669.02941402323
"201",2020-10-03,"AC",NA,NA,201,28597.2320739948,28339.7989523063,28854.6651956834,28203.5220895488,28990.9420584409,NA,NA,662.470892937299,655.706685781326,669.235100093273,652.12593081005,672.815855064549
"202",2020-10-04,"AC",NA,NA,202,28718.0108921451,28396.9315270922,29039.0902571981,28226.9623782951,29209.0594059951,NA,NA,663.58241561372,655.107401315103,672.057429912337,650.620999748497,676.543831478943
"203",2020-10-05,"AC",NA,NA,203,28838.7897102954,28454.4966704222,29223.0827501685,28251.0642235408,29426.5151970499,NA,NA,664.693938290141,654.495455155603,674.892421424678,649.096704298125,680.291172282156
"204",2020-10-06,"AC",NA,NA,204,28959.5685284456,28511.4809632104,29407.6560936808,28274.2777345414,29644.8593223498,NA,NA,665.805460966561,653.849413462041,677.761508471081,647.520264228222,684.0906577049
"205",2020-10-07,"AC",NA,NA,205,29080.3473465959,28567.3765442953,29593.3181488965,28295.8262046763,29864.8684885154,NA,NA,666.916983642982,653.15897109586,680.674996190104,645.875919189403,687.958048096561
