"","data","regional_id","regional","casos_acumulado","Casos.Estimado","t","Casos.Forecast","Casos.Lo.80","Casos.Hi.80","Casos.Lo.95","Casos.Hi.95","obitos_acumulado","Obitos.Estimado","Obitos.Forecast","Obitos.Lo.80","Obitos.Hi.80","Obitos.Lo.95","Obitos.Hi.95"
"1",2020-04-21,11002,"Café",1,0.999552786483593,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"2",2020-04-22,11002,"Café",1,1.00134163618215,2,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"3",2020-04-23,11002,"Café",0,0.751954165249901,3,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"4",2020-04-24,11002,"Café",0,-0.436626323048098,4,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"5",2020-04-25,11002,"Café",0,-0.303498965509421,5,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"6",2020-04-26,11002,"Café",1,-0.173040476544194,6,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"7",2020-04-27,11002,"Café",1,1.02881882754792,7,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"8",2020-04-28,11002,"Café",1,1.02355975455986,8,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"9",2020-04-29,11002,"Café",1,1.01963731791672,9,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"10",2020-04-30,11002,"Café",2,1.03225294835408,10,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"11",2020-05-01,11002,"Café",4,2.18642307500001,11,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"12",2020-05-02,11002,"Café",5,4.4337904486893,12,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"13",2020-05-03,11002,"Café",6,5.51130587139614,13,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"14",2020-05-04,11002,"Café",6,6.57151786780497,14,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"15",2020-05-05,11002,"Café",6,6.49654888690951,15,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"16",2020-05-06,11002,"Café",7,6.43530221629151,16,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"17",2020-05-07,11002,"Café",8,7.50752944681619,17,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"18",2020-05-08,11002,"Café",15,8.58040707239015,18,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"19",2020-05-09,11002,"Café",16,16.3813532340898,19,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"20",2020-05-10,11002,"Café",26,17.3427220041425,20,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"21",2020-05-11,11002,"Café",26,28.416213725694,21,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"22",2020-05-12,11002,"Café",32,28.1189146828012,22,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"23",2020-05-13,11002,"Café",36,34.6002321526466,23,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"24",2020-05-14,11002,"Café",39,38.7735020432063,24,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"25",2020-05-15,11002,"Café",40,41.8010144312432,25,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"26",2020-05-16,11002,"Café",43,42.5785665659926,26,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"27",2020-05-17,11002,"Café",42,45.6300329312509,27,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"28",2020-05-18,11002,"Café",42,44.1815863268388,28,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"29",2020-05-19,11002,"Café",50,43.9128882098785,29,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"30",2020-05-20,11002,"Café",50,52.6638802070589,30,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"31",2020-05-21,11002,"Café",50,52.3350618760801,31,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"32",2020-05-22,11002,"Café",63,52.0474521822161,32,NA,NA,NA,NA,NA,1,0.00233525119414557,NA,NA,NA,NA,NA
"33",2020-05-23,11002,"Café",65,66.3985187012186,33,NA,NA,NA,NA,NA,1,1.2488727565711,NA,NA,NA,NA,NA
"34",2020-05-24,11002,"Café",67,68.2259776546765,34,NA,NA,NA,NA,NA,1,1.04013933872255,NA,NA,NA,NA,NA
"35",2020-05-25,11002,"Café",71,70.0747773424189,35,NA,NA,NA,NA,NA,1,1.03803535520061,NA,NA,NA,NA,NA
"36",2020-05-26,11002,"Café",75,74.1889064701349,36,NA,NA,NA,NA,NA,1,1.03605448198648,NA,NA,NA,NA,NA
"37",2020-05-27,11002,"Café",88,78.2890555862415,37,NA,NA,NA,NA,NA,1,1.03418769999168,NA,NA,NA,NA,NA
"38",2020-05-28,11002,"Café",91,92.4867220460511,38,NA,NA,NA,NA,NA,1,1.03242689305332,NA,NA,NA,NA,NA
"39",2020-05-29,11002,"Café",100,95.30339569184,39,NA,NA,NA,NA,NA,1,1.03076472904569,NA,NA,NA,NA,NA
"40",2020-05-30,11002,"Café",103,104.882612552054,40,NA,NA,NA,NA,NA,1,1.02919455969296,NA,NA,NA,NA,NA
"41",2020-05-31,11002,"Café",110,107.650444209158,41,NA,NA,NA,NA,NA,1,1.02771033576941,NA,NA,NA,NA,NA
"42",2020-06-01,11002,"Café",110,114.940191145711,42,NA,NA,NA,NA,NA,1,1.02630653502113,NA,NA,NA,NA,NA
"43",2020-06-02,11002,"Café",131,114.330978906258,43,NA,NA,NA,NA,NA,3,1.02647919776342,NA,NA,NA,NA,NA
"44",2020-06-03,11002,"Café",147,137.38670252057,44,NA,NA,NA,NA,NA,3,3.51616184665605,NA,NA,NA,NA,NA
"45",2020-06-04,11002,"Café",158,154.572262041288,45,NA,NA,NA,NA,NA,3,3.0985473960781,NA,NA,NA,NA,NA
"46",2020-06-05,11002,"Café",173,165.994992260674,46,NA,NA,NA,NA,NA,3,3.09360990976698,NA,NA,NA,NA,NA
"47",2020-06-06,11002,"Café",179,181.858874079509,47,NA,NA,NA,NA,NA,3,3.08892981816551,NA,NA,NA,NA,NA
"48",2020-06-07,11002,"Café",181,187.50630333391,48,NA,NA,NA,NA,NA,3,3.08449229724439,NA,NA,NA,NA,NA
"49",2020-06-08,11002,"Café",189,188.703923932237,49,NA,NA,NA,NA,NA,3,3.08028356943188,NA,NA,NA,NA,NA
"50",2020-06-09,11002,"Café",189,196.740434089787,50,NA,NA,NA,NA,NA,3,3.07629080516282,NA,NA,NA,NA,NA
"51",2020-06-10,11002,"Café",189,195.785857130189,51,NA,NA,NA,NA,NA,3,3.07250203639651,NA,NA,NA,NA,NA
"52",2020-06-11,11002,"Café",247,194.949015708602,52,NA,NA,NA,NA,NA,5,3.06950857107238,NA,NA,NA,NA,NA
"53",2020-06-12,11002,"Café",254,259.368100984518,53,NA,NA,NA,NA,NA,5,5.5564259865618,NA,NA,NA,NA,NA
"54",2020-06-13,11002,"Café",277,265.706092119502,54,NA,NA,NA,NA,NA,6,5.13730023936107,NA,NA,NA,NA,NA
"55",2020-06-14,11002,"Café",283,290.098889678889,55,NA,NA,NA,NA,NA,6,6.37565233033271,NA,NA,NA,NA,NA
"56",2020-06-15,11002,"Café",316,295.223435313741,56,NA,NA,NA,NA,NA,7,6.16137053616861,NA,NA,NA,NA,NA
"57",2020-06-16,11002,"Café",330,330.7856619758,57,NA,NA,NA,NA,NA,7,7.39851291892162,NA,NA,NA,NA,NA
"58",2020-06-17,11002,"Café",358,344.688772466473,58,NA,NA,NA,NA,NA,7,7.18292283090871,NA,NA,NA,NA,NA
"59",2020-06-18,11002,"Café",359,374.330351057471,59,NA,NA,NA,NA,NA,7,7.1739061306088,NA,NA,NA,NA,NA
"60",2020-06-19,11002,"Café",373,373.439767896106,60,NA,NA,NA,NA,NA,7,7.16533884735643,NA,NA,NA,NA,NA
"61",2020-06-20,11002,"Café",386,387.385534423894,61,NA,NA,NA,NA,NA,7,7.15719788607935,NA,NA,NA,NA,NA
"62",2020-06-21,11002,"Café",389,400.214666156925,62,NA,NA,NA,NA,NA,7,7.14946143516741,NA,NA,NA,NA,NA
"63",2020-06-22,11002,"Café",391,401.831641206946,63,NA,NA,NA,NA,NA,7,7.14210888202511,NA,NA,NA,NA,NA
"64",2020-06-23,11002,"Café",404,402.495852175682,64,NA,NA,NA,NA,NA,7,7.13512073584782,NA,NA,NA,NA,NA
"65",2020-06-24,11002,"Café",440,415.681348170333,65,NA,NA,NA,NA,NA,7,7.12847855682047,NA,NA,NA,NA,NA
"66",2020-06-25,11002,"Café",440,454.680393840705,66,NA,NA,NA,NA,NA,7,7.12216489104297,NA,NA,NA,NA,NA
"67",2020-06-26,11002,"Café",440,452.869965618131,67,NA,NA,NA,NA,NA,7,7.11616321057626,NA,NA,NA,NA,NA
"68",2020-06-27,11002,"Café",503,451.282804823755,68,NA,NA,NA,NA,NA,9,7.11057802305693,NA,NA,NA,NA,NA
"69",2020-06-28,11002,"Café",503,520.66071714144,69,NA,NA,NA,NA,NA,9,9.59515737181826,NA,NA,NA,NA,NA
"70",2020-06-29,11002,"Café",522,518.482747032336,70,NA,NA,NA,NA,NA,10,9.17407551404605,NA,NA,NA,NA,NA
"71",2020-06-30,11002,"Café",549,537.916504736148,71,NA,NA,NA,NA,NA,11,10.410572260059,NA,NA,NA,NA,NA
"72",2020-07-01,11002,"Café",566,566.283353040659,72,NA,NA,NA,NA,NA,11,11.4394583127762,NA,NA,NA,NA,NA
"73",2020-07-02,11002,"Café",611,583.248409158689,73,NA,NA,NA,NA,NA,11,11.2219362670089,NA,NA,NA,NA,NA
