Data;Estado;%Ocup_UTI;%Ocup_Enf
06/06/2020;AC;63,30;40,80
06/06/2020;AL;;
06/06/2020;AM;25,60;24,30
06/06/2020;AP;27,90;27,00
06/06/2020;BA;58,00;40,50
06/06/2020;CE;65,80;42,70
06/06/2020;DF;63,80;62,70
06/06/2020;ES;68,40;52,70
06/06/2020;GO;84,60;61,50
06/06/2020;MA;38,70;23,30
06/06/2020;MG;65,50;57,60
06/06/2020;MS;58,20;33,50
06/06/2020;MT;61,50;33,30
06/06/2020;PA;53,40;29,70
06/06/2020;PB;30,20;26,20
06/06/2020;PE;71,90;43,00
06/06/2020;PI;45,40;49,30
06/06/2020;PR;71,90;44,90
06/06/2020;RJ;;
06/06/2020;RN;38,30;35,90
06/06/2020;RO;75,40;59,60
06/06/2020;RR;67,80;64,80
06/06/2020;RS;73,60;25,10
06/06/2020;SC;59,80;31,20
06/06/2020;SE;43,40;25,10
06/06/2020;SP;53,90;37,20
06/06/2020;TO;80,80;40,30
20/06/2020;AC;92,00;
20/06/2020;AL;81,00;50,00
20/06/2020;AP;49,00;59,00
20/06/2020;AM;74,00;46,00
20/06/2020;BA;75,00;49,00
20/06/2020;CE;67,00;45,00
20/06/2020;DF;66,00;63,00
20/06/2020;ES;81,00;71,00
20/06/2020;GO;86,00;57,00
20/06/2020;MA;82,00;56,00
20/06/2020;MT;81,00;22,00
20/06/2020;MS;25,00;12,00
20/06/2020;MG;16,00;11,00
20/06/2020;PA;67,62;45,24
20/06/2020;PB;62,00;55,00
20/06/2020;PR;58,00;39,00
20/06/2020;PE;84,00;40,00
20/06/2020;PI;67,00;48,00
20/06/2020;RJ;56,00;
20/06/2020;RN;92,00;79,00
20/06/2020;RS;19,00;13,00
20/06/2020;RO;86,00;60,00
20/06/2020;RR;95,00;89,00
20/06/2020;SC;15,00;
20/06/2020;SP;66,00;51,00
20/06/2020;SE;78,00;77,00
20/06/2020;TO;65,00;33,00
21/06/2020;AC;;
21/06/2020;AL;77,20;54,62
21/06/2020;AP;42,86;24,97
21/06/2020;AM;41,75;57,96
21/06/2020;BA;74,88;47,60
21/06/2020;CE;87,04;46,28
21/06/2020;DF;68,93;56,12
21/06/2020;ES;82,70;66,52
21/06/2020;GO;76,92;45,52
21/06/2020;MA;84,15;57,38
21/06/2020;MT;86,98;71,00
21/06/2020;MS;19,14;11,39
21/06/2020;MG;78,39;21,98
21/06/2020;PA;69,43;45,27
21/06/2020;PB;63,71;42,69
21/06/2020;PR;84,06;42,32
21/06/2020;PE;61,94;47,45
21/06/2020;PI;83,33;38,11
21/06/2020;RJ;;
21/06/2020;RN;91,71;100,00
21/06/2020;RS;82,50;47,19
21/06/2020;RO;82,00;100,00
21/06/2020;RR;70,19;12,60
21/06/2020;SC;63,37;
21/06/2020;SP;76,25;42,13
21/06/2020;SE;66,50;51,70
21/06/2020;TO;92,98;47,48
26/06/2020;AC;88,90;87,50
26/06/2020;AL;84,10;48,00
26/06/2020;AM;60,90;39,50
26/06/2020;AP;46,60;44,10
26/06/2020;BA;79,50;52,20
26/06/2020;CE;69,60;46,20
26/06/2020;DF;84,30;60,20
26/06/2020;ES;82,50;73,40
26/06/2020;GO;73,10;59,00
26/06/2020;MA;69,40;43,70
26/06/2020;MG;89,60;71,20
26/06/2020;MS;73,10;17,60
26/06/2020;MT;94,00;11,80
26/06/2020;PA;84,90;49,50
26/06/2020;PB;63,50;38,90
26/06/2020;PE;80,40;42,30
26/06/2020;PI;72,90;55,20
26/06/2020;PR;64,80;44,30
26/06/2020;RJ;73,00;
26/06/2020;RN;94,60;78,40
26/06/2020;RO;64,70;54,90
26/06/2020;RR;91,90;69,80
26/06/2020;RS;67,80;15,50
26/06/2020;SC;67,00;
26/06/2020;SE;93,60;78,10
26/06/2020;SP;65,30;49,40
26/06/2020;TO;58,80;29,30
28/06/2020;AC;88,90;87,50
28/06/2020;AL;84,10;48,00
28/06/2020;AM;60,90;39,50
28/06/2020;AP;46,60;44,10
28/06/2020;BA;79,50;52,20
28/06/2020;CE;69,60;46,20
28/06/2020;DF;84,30;60,20
28/06/2020;ES;82,50;73,40
28/06/2020;GO;73,10;59,00
28/06/2020;MA;69,40;43,70
28/06/2020;MG;89,60;71,20
28/06/2020;MS;73,10;17,60
28/06/2020;MT;94,00;11,80
28/06/2020;PA;84,90;49,50
28/06/2020;PB;63,50;38,90
28/06/2020;PE;80,40;42,30
28/06/2020;PI;72,90;55,20
28/06/2020;PR;64,80;44,30
28/06/2020;RJ;73,00;
28/06/2020;RN;94,60;78,40
28/06/2020;RO;64,70;54,90
28/06/2020;RR;91,90;69,80
28/06/2020;RS;67,80;15,50
28/06/2020;SC;67,00;
28/06/2020;SE;93,60;78,10
28/06/2020;SP;65,30;49,40
28/06/2020;TO;58,80;29,30
05/07/2020;AC;;
05/07/2020;AL;82,10;42,30
05/07/2020;AM;54,00;44,00
05/07/2020;AP;39,10;46,90
05/07/2020;BA;84,80;56,50
05/07/2020;CE;73,30;39,70
05/07/2020;DF;78,90;49,30
05/07/2020;ES;68,40;80,50
05/07/2020;GO;82,40;67,50
05/07/2020;MA;65,70;34,80
05/07/2020;MG;;
05/07/2020;MS;39,70;17,70
05/07/2020;MT;94,20;48,00
05/07/2020;PA;64,40;43,40
05/07/2020;PB;62,10;36,80
05/07/2020;PE;75,00;42,00
05/07/2020;PI;72,90;54,40
05/07/2020;PR;69,00;45,10
05/07/2020;RJ;;
05/07/2020;RN;85,10;67,60
05/07/2020;RO;79,90;54,40
05/07/2020;RR;60,00;65,90
05/07/2020;RS;71,40;19,10
05/07/2020;SC;69,20;
05/07/2020;SE;93,50;77,50
05/07/2020;SP;63,60;48,60
05/07/2020;TO;62,50;26,20
12/07/2020;AC;;
12/07/2020;AL;62,90;37,80
12/07/2020;AM;53,00;44,00
12/07/2020;AP;43,90;35,20
12/07/2020;BA;78,00;55,70
12/07/2020;CE;69,30;39,40
12/07/2020;DF;86,50;45,50
12/07/2020;ES;82,20;65,90
12/07/2020;GO;86,10;80,10
12/07/2020;MA;65,00;33,90
12/07/2020;MG;24,90;8,14
12/07/2020;MS;50,00;21,00
12/07/2020;MT;91,30;53,10
12/07/2020;PA;40,60;62,40
12/07/2020;PB;53,10;63,80
12/07/2020;PE;75,00;42,00
12/07/2020;PI;63,60;55,50
12/07/2020;PR;91,90;70,50
12/07/2020;RJ;;
12/07/2020;RN;80,20;82,70
12/07/2020;RO;69,10;51,10
12/07/2020;RR;70,70;67,30
12/07/2020;RS;72,80;22,60
12/07/2020;SC;26,30;
12/07/2020;SE;87,70;83,30
12/07/2020;SP;65,90;50,80
12/07/2020;TO;63,80;28,10
19/07/2020;AC;32,00;36,40
19/07/2020;AL;53,20;33,30
19/07/2020;AM;43,90;35,20
19/07/2020;AP;44,00;35,00
19/07/2020;BA;75,40;56,00
19/07/2020;CE;75,20;37,70
19/07/2020;DF;82,90;67,60
19/07/2020;ES;73,90;66,50
19/07/2020;GO;83,80;63,00
19/07/2020;MA;50,80;27,40
19/07/2020;MG;25,00;8,47
19/07/2020;MS;59,00;31,00
19/07/2020;MT;93,50;53,30
19/07/2020;PA;54,80;33,40
19/07/2020;PB;49,90;38,60
